maxPopulationSize,mutationChance,iterationCount,amountOfFittestPopulationToKeep,bestGenotype,bestGenotypeScore,totalTime
500,0.005,50,0.4,260531472,186,159
500,0.005,50,0.4,260531472,186,153
500,0.005,50,0.4,260537412,186,174
500,0.005,50,0.4,260531472,186,136
500,0.005,50,0.4,260531472,186,137
500,0.005,50,0.4,260537412,186,152
500,0.005,50,0.4,260537412,186,170
500,0.005,50,0.4,260531472,186,223
500,0.005,50,0.4,260531472,186,249
500,0.005,50,0.4,260531472,186,165
500,0.005,50,0.4,260531472,186,153
500,0.005,50,0.4,260531472,186,193
500,0.005,50,0.4,260531472,186,167
500,0.005,50,0.4,260537412,186,147
500,0.005,50,0.4,260537142,186,156
500,0.005,50,0.4,260531472,186,140
1000,0.005,50,0.4,260531472,186,416
1000,0.005,50,0.4,260537412,186,401
1000,0.005,50,0.4,260531472,186,373
1000,0.005,50,0.4,260531472,186,411
1000,0.005,50,0.4,260531472,186,532
1000,0.005,50,0.4,260531472,186,421
1000,0.005,50,0.4,260537142,186,403
1000,0.005,50,0.4,260537142,186,426
1000,0.005,50,0.4,260531472,186,466
1000,0.005,50,0.4,260531472,186,433
1000,0.005,50,0.4,260537142,186,485
1000,0.005,50,0.4,260537142,186,476
1000,0.005,50,0.4,260537142,186,391
1000,0.005,50,0.4,260531472,186,624
1000,0.005,50,0.4,260537412,186,394
1000,0.005,50,0.4,260531472,186,423
1000,0.005,50,0.4,260537412,186,392
1000,0.005,50,0.4,260531472,186,424
1000,0.005,50,0.4,260531472,186,416
1000,0.005,50,0.4,260537142,186,425
1000,0.005,50,0.4,260537412,186,565
1000,0.005,50,0.4,260531472,186,453
1000,0.005,50,0.4,260537142,186,393
1000,0.005,50,0.4,260537412,186,469
1000,0.005,50,0.4,260531472,186,479
1000,0.005,50,0.4,260537412,186,414
1000,0.005,50,0.4,260537142,186,347
1000,0.005,50,0.4,260531472,186,332
1000,0.005,50,0.4,260537412,186,310
1000,0.005,50,0.4,260531472,186,334
1000,0.005,50,0.4,260537412,186,316
1000,0.005,50,0.4,260537412,186,307
1000,0.005,50,0.4,260537142,186,302
1000,0.005,50,0.4,260531472,186,339
1000,0.005,50,0.4,260531472,186,389
1000,0.005,50,0.4,260531472,186,498
1000,0.005,50,0.4,260537412,186,334
1000,0.005,50,0.4,260531472,186,353
1000,0.005,50,0.4,260531472,186,356
1000,0.005,50,0.4,260537142,186,345
1000,0.005,50,0.4,260537412,186,353
1000,0.005,50,0.4,260537412,186,320
1000,0.005,50,0.4,260537142,186,320
1000,0.005,50,0.4,260531472,186,338
1000,0.005,50,0.4,260531472,186,329
1000,0.005,50,0.4,260531472,186,316
1000,0.005,50,0.4,260531472,186,337
1000,0.005,50,0.4,260531472,186,402
1000,0.005,50,0.4,260531472,186,442
1000,0.005,50,0.4,260531472,186,326
5000,0.005,50,0.4,260537412,186,5086
